1,622982
2,61696
3,20771
4,9922
5,5705
6,3768
7,2582
8,1919
9,1403
10,1202
11,841
12,678
13,615
14,489
15,417
16,390
17,339
18,283
19,256
20,225
21,220
22,179
23,121
24,122
25,129
26,102
27,117
28,105
29,81
30,71
31,70
32,70
33,72
34,63
35,65
36,56
37,53
38,43
39,48
40,35
41,37
42,34
43,24
44,27
45,32
46,25
47,19
48,19
49,23
50,22
51,26
52,20
53,19
54,19
55,20
56,22
57,12
58,13
59,17
60,9
61,15
62,13
63,9
64,12
65,12
66,10
67,10
68,17
69,3
70,9
71,4
72,14
73,8
74,15
75,7
76,13
77,6
78,6
79,3
80,3
81,3
82,8
83,10
84,5
85,6
86,2
87,5
88,11
89,4
90,3
91,4
92,1
93,2
94,3
95,5
96,3
97,7
98,1
99,4
100,4
101,1
102,4
103,3
104,1
105,1
107,1
108,5
109,4
110,1
111,4
112,1
113,3
114,3
116,1
117,2
118,5
119,6
120,2
121,2
122,1
123,2
124,2
125,2
126,4
128,2
130,2
132,1
133,4
134,1
135,1
136,2
137,1
140,1
141,5
142,1
144,2
145,2
146,2
147,2
148,1
150,2
152,1
153,2
155,2
156,1
158,1
159,1
160,1
161,1
162,3
164,1
165,1
166,2
167,3
168,2
171,1
172,1
179,2
180,2
182,1
184,1
185,1
186,1
188,2
189,2
191,2
197,1
198,2
199,1
201,1
202,1
204,1
205,1
207,1
209,1
213,2
214,1
218,1
229,1
240,1
247,1
253,2
254,1
258,1
269,1
276,1
279,1
282,1
288,1
293,1
303,1
304,1
309,1
337,1
360,1
372,1
379,1
443,1
445,1
554,1
585,1
